class;cap-shape;cap-surface;cap-color;bruises;gill-spacing;stalk-shape;stalk-root;stalk-color-above-ring;stalk-color-below-ring;veil-color;population;habitat
poisonous;convex;smooth;brown;bruises;close;enlarging;equal;white;white;white;scattered;urban
edible;convex;smooth;yellow;bruises;close;enlarging;club;white;white;white;numerous;grasses
edible;bell;smooth;white;bruises;close;enlarging;club;white;white;white;numerous;meadows
poisonous;convex;scaly;white;bruises;close;enlarging;equal;white;white;white;scattered;urban
edible;convex;smooth;gray;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;convex;scaly;yellow;bruises;close;enlarging;club;white;white;white;numerous;grasses
edible;bell;scaly;white;bruises;close;enlarging;club;white;white;white;scattered;meadows
poisonous;convex;scaly;white;bruises;close;enlarging;equal;white;white;white;several;grasses
edible;bell;smooth;yellow;bruises;close;enlarging;club;white;white;white;scattered;meadows
edible;convex;scaly;yellow;bruises;close;enlarging;club;white;white;white;scattered;meadows
edible;bell;smooth;yellow;bruises;close;enlarging;club;white;white;white;scattered;grasses
poisonous;convex;scaly;white;bruises;close;enlarging;equal;white;white;white;several;urban
edible;convex;fibrous;brown;no;crowded;tapering;equal;white;white;white;abundant;grasses
edible;sunken;fibrous;gray;no;close;enlarging;equal;white;white;white;solitary;urban
edible;flat;fibrous;white;no;crowded;tapering;equal;white;white;white;abundant;grasses
poisonous;convex;smooth;brown;bruises;close;enlarging;equal;white;white;white;scattered;grasses
poisonous;convex;scaly;brown;bruises;close;enlarging;equal;white;white;white;several;grasses
edible;bell;scaly;yellow;bruises;close;enlarging;club;white;white;white;scattered;meadows
edible;bell;scaly;white;bruises;close;enlarging;club;white;white;white;numerous;meadows
edible;bell;smooth;white;bruises;close;enlarging;club;white;white;white;scattered;meadows
poisonous;flat;smooth;white;bruises;close;enlarging;equal;white;white;white;several;grasses
edible;convex;scaly;yellow;bruises;close;enlarging;club;white;white;white;numerous;meadows
edible;convex;scaly;white;bruises;close;enlarging;club;white;white;white;numerous;meadows
edible;flat;fibrous;brown;no;close;enlarging;equal;white;white;white;solitary;urban
edible;convex;smooth;yellow;bruises;crowded;tapering;bulbous;white;white;white;several;woods
edible;bell;smooth;yellow;bruises;close;enlarging;club;white;white;white;numerous;meadows
edible;convex;scaly;brown;bruises;close;enlarging;rooted;white;white;white;solitary;paths
edible;convex;fibrous;yellow;bruises;crowded;tapering;bulbous;white;white;white;several;woods
edible;sunken;fibrous;gray;no;close;enlarging;equal;white;white;white;several;urban
poisonous;convex;scaly;brown;bruises;close;enlarging;equal;white;white;white;scattered;urban
edible;bell;scaly;yellow;bruises;close;enlarging;club;white;white;white;scattered;grasses
edible;convex;scaly;yellow;bruises;close;enlarging;rooted;white;white;white;solitary;paths
edible;convex;fibrous;brown;no;close;enlarging;equal;white;white;white;solitary;urban
edible;convex;smooth;yellow;bruises;close;enlarging;club;white;white;white;numerous;meadows
edible;convex;scaly;white;bruises;close;enlarging;club;white;white;white;numerous;grasses
edible;convex;smooth;white;bruises;close;enlarging;club;white;white;white;numerous;meadows
edible;convex;scaly;yellow;bruises;close;enlarging;rooted;white;white;white;scattered;paths
