class;cap-shape;cap-surface;cap-color;bruises;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-color;spore-print-color;population;habitat
poisonous;convex;smooth;brown;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;scattered;urban
edible;convex;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;bell;smooth;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
poisonous;convex;scaly;white;bruises;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;black;scattered;urban
edible;convex;smooth;gray;no;crowded;broad;black;tapering;equal;smooth;smooth;white;white;white;brown;abundant;grasses
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;numerous;grasses
edible;bell;smooth;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;numerous;meadows
edible;bell;scaly;white;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
poisonous;convex;scaly;white;bruises;close;narrow;pink;enlarging;equal;smooth;smooth;white;white;white;black;several;grasses
edible;bell;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;convex;scaly;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;grasses
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
edible;bell;smooth;yellow;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;scattered;grasses
poisonous;convex;scaly;white;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;several;urban
edible;convex;fibrous;brown;no;crowded;broad;brown;tapering;equal;smooth;fibrous;white;white;white;black;abundant;grasses
edible;sunken;fibrous;gray;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;solitary;urban
edible;flat;fibrous;white;no;crowded;broad;black;tapering;equal;smooth;smooth;white;white;white;brown;abundant;grasses
poisonous;convex;smooth;brown;bruises;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;black;scattered;grasses
poisonous;convex;scaly;white;bruises;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;brown;scattered;urban
poisonous;convex;smooth;brown;bruises;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;brown;scattered;urban
edible;bell;smooth;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
poisonous;convex;scaly;brown;bruises;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;brown;several;grasses
edible;bell;scaly;yellow;bruises;close;broad;black;enlarging;club;smooth;smooth;white;white;white;brown;scattered;meadows
edible;bell;scaly;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;bell;smooth;white;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;black;scattered;meadows
poisonous;flat;smooth;white;bruises;close;narrow;brown;enlarging;equal;smooth;smooth;white;white;white;brown;several;grasses
edible;convex;scaly;yellow;bruises;close;broad;brown;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;convex;scaly;white;bruises;close;broad;white;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
edible;flat;fibrous;brown;no;close;narrow;black;enlarging;equal;smooth;smooth;white;white;white;black;solitary;urban
edible;convex;smooth;yellow;bruises;crowded;narrow;brown;tapering;bulbous;smooth;smooth;white;white;white;brown;several;woods
edible;bell;smooth;yellow;bruises;close;broad;gray;enlarging;club;smooth;smooth;white;white;white;brown;numerous;meadows
